gene,direction,abs_log2FoldChange,log2FoldChange,qValue
SPARCL1,Up in Dex,4.70349,-4.70349,0.0
KLF15,Up in Dex,4.57548,-4.57548,0.0
FKBP5,Up in Dex,3.95257,-3.95257,0.0
SAMHD1,Up in Dex,3.83146,-3.83146,0.0
GPX3,Up in Dex,3.76295,-3.76295,0.0
C7,Up in Dex,3.35354,-3.35354,0.0
SERPINA3,Up in Dex,3.34375,-3.34375,0.0
MAOA,Up in Dex,3.292,-3.292,0.0
DUSP1,Up in Dex,2.98874,-2.98874,0.0
CCDC69,Up in Dex,2.92433,-2.92433,0.0
C13orf15,Up in Dex,3.26837,-3.26837,2.50041e-13
TSC22D3,Up in Dex,3.26657,-3.26657,2.50041e-13
