gene,log2FoldChange,pValue,rawPValue,qValue,significant
1/2-SBSRNA4,0.121744,0.978275,0.978275,0.999906,no
A1BG,-0.402168,0.535995,0.535995,0.999906,no
A1BG-AS1,-0.711454,0.384605,0.384605,0.999906,no
A2LD1,-0.045497,0.957696,0.957696,0.999906,no
A2M,-0.192883,0.699995,0.699995,0.999906,no
A4GALT,-0.52375,0.0990038,0.0990038,0.999906,no
AAAS,-0.0156521,0.965458,0.965458,0.999906,no
AACS,0.16662,0.670148,0.670148,0.999906,no
AADAT,0.486035,0.405461,0.405461,0.999906,no
AAGAB,0.190795,0.569709,0.569709,0.999906,no
AAK1,0.105412,0.73937,0.73937,0.999906,no
AAMP,-0.313818,0.315756,0.315756,0.999906,no
AARS,0.570687,0.0666994,0.0666994,0.841558,no
AARS2,0.731503,0.0558579,0.0558579,0.766302,no
AARSD1,9.23624e-05,0.999832,0.999832,0.999906,no
AASDH,0.116183,0.783081,0.783081,0.999906,no
AASDHPPT,-0.00119574,0.997289,0.997289,0.999906,no
AASS,-1.12941,0.000529377,0.000529377,0.0261076,yes
AATF,-0.287752,0.39208,0.39208,0.999906,no
ABAT,-1.16224,0.00133715,0.00133715,0.0545677,no
ABCA1,-0.112522,0.743631,0.743631,0.999906,no
ABCA10,1.31624,0.1413,0.1413,0.999906,no
ABCA11P,0.472972,0.724559,0.724559,0.999906,no
ABCA2,-0.015625,0.96171,0.96171,0.999906,no
ABCA3,-0.213836,0.681861,0.681861,0.999906,no
ABCA5,0.166055,0.678659,0.678659,0.999906,no
ABCA6,-1.02619,0.00115058,0.00115058,0.0492019,yes
ABCA7,0.73701,0.159627,0.159627,0.999906,no
ABCA8,-0.0817,0.795093,0.795093,0.999906,no
ABCA9,-0.175954,0.582802,0.582802,0.999906,no
ABCB1,0.714243,0.26259,0.26259,0.999906,no
ABCB10,-0.386533,0.350858,0.350858,0.999906,no
ABCB4,1.36436,0.229243,0.229243,0.999906,no
ABCB5,1.77042,0.344331,0.344331,0.999906,no
ABCB6,0.0369475,0.922983,0.922983,0.999906,no
ABCB7,0.248785,0.54666,0.54666,0.999906,no
ABCB8,0.00611141,0.986375,0.986375,0.999906,no
ABCB9,0.812112,0.417233,0.417233,0.999906,no
ABCC1,0.372072,0.268737,0.268737,0.999906,no
ABCC10,-0.0678047,0.866316,0.866316,0.999906,no
ABCC3,-0.751626,0.145749,0.145749,0.999906,no
ABCC4,-0.538515,0.120368,0.120368,0.999906,no
ABCC5,-0.362129,0.422824,0.422824,0.999906,no
ABCC6,1.03621,0.352837,0.352837,0.999906,no
ABCC6P2,0.749212,0.453376,0.453376,0.999906,no
ABCC9,-0.966249,0.0219742,0.0219742,0.420591,no
ABCD1,-0.207024,0.569495,0.569495,0.999906,no
ABCD3,0.0764439,0.88078,0.88078,0.999906,no
ABCD4,0.215173,0.606374,0.606374,0.999906,no
ABCE1,-0.256353,0.484779,0.484779,0.999906,no
ABCF1,-0.0148027,0.973081,0.973081,0.999906,no
ABCF2,-0.371523,0.261029,0.261029,0.999906,no
ABCF3,0.0641856,0.847761,0.847761,0.999906,no
ABCG1,-0.697702,0.211744,0.211744,0.999906,no
ABHD10,0.70323,0.0798151,0.0798151,0.917908,no
ABHD11,0.654111,0.449517,0.449517,0.999906,no
ABHD11-AS1,0.272131,0.823584,0.823584,0.999906,no
ABHD12,-0.271461,0.640722,0.640722,0.999906,no
ABHD13,-0.248028,0.515397,0.515397,0.999906,no
ABHD14A,0.0125218,0.982076,0.982076,0.999906,no
ABHD14A-ACY1,-10.8601,0.837593,0.837593,0.999906,no
ABHD14B,-0.221707,0.520407,0.520407,0.999906,no
ABHD15,-0.67382,0.0685489,0.0685489,0.849038,no
ABHD16A,-0.0735585,0.937118,0.937118,0.999906,no
ABHD16B,0.103126,0.877291,0.877291,0.999906,no
ABHD2,-0.423348,0.181636,0.181636,0.999906,no
ABHD3,-0.864512,0.168649,0.168649,0.999906,no
ABHD4,0.176855,0.566237,0.566237,0.999906,no
ABHD5,-1.16159,0.000235599,0.000235599,0.0143408,yes
ABHD6,-0.56118,0.336169,0.336169,0.999906,no
ABHD8,0.010618,0.978555,0.978555,0.999906,no
ABI1,-0.130772,0.719054,0.719054,0.999906,no
ABI2,0.265116,0.403977,0.403977,0.999906,no
ABI3BP,-0.175163,0.596496,0.596496,0.999906,no
ABL1,0.097348,0.771297,0.771297,0.999906,no
ABL2,-0.474513,0.260309,0.260309,0.999906,no
ABLIM1,-1.38232,9.34572e-05,9.34572e-05,0.00693894,yes
ABLIM3,0.197475,0.529468,0.529468,0.999906,no
ABR,0.421052,0.217419,0.217419,0.999906,no
ABT1,-0.0573382,0.891535,0.891535,0.999906,no
ABTB1,-0.617198,0.108314,0.108314,0.999906,no
ABTB2,-0.300691,0.482104,0.482104,0.999906,no
ACAA1,-0.0888646,0.810157,0.810157,0.999906,no
ACAA2,-0.254133,0.434712,0.434712,0.999906,no
ACACA,0.158189,0.652808,0.652808,0.999906,no
ACACB,-0.369433,0.34747,0.34747,0.999906,no
ACAD10,0.0197139,0.958066,0.958066,0.999906,no
ACAD11,0.54687,0.481031,0.481031,0.999906,no
ACAD8,-0.0462065,0.907318,0.907318,0.999906,no
ACAD9,0.0653674,0.865272,0.865272,0.999906,no
ACADM,-0.365462,0.348159,0.348159,0.999906,no
ACADS,-1.11879,0.00243193,0.00243193,0.0849165,no
ACADSB,-0.337646,0.331846,0.331846,0.999906,no
ACADVL,0.0793196,0.817229,0.817229,0.999906,no
ACAN,-1.03583,0.0513632,0.0513632,0.728301,no
ACAP2,0.229323,0.456819,0.456819,0.999906,no
ACAP3,0.385207,0.254531,0.254531,0.999906,no
ACAT1,-0.127506,0.689215,0.689215,0.999906,no
ACAT2,-0.273982,0.797634,0.797634,0.999906,no
ACBD3,-0.0513995,0.868423,0.868423,0.999906,no
ACBD4,-0.115276,0.838313,0.838313,0.999906,no
ACBD5,0.0386673,0.907916,0.907916,0.999906,no
ACBD6,0.34294,0.307608,0.307608,0.999906,no
ACCN2,0.359981,0.450187,0.450187,0.999906,no
ACCN3,-0.449787,0.703461,0.703461,0.999906,no
ACCS,-0.0228103,0.961858,0.961858,0.999906,no
ACD,0.0716476,0.873063,0.873063,0.999906,no
ACE,-0.0290623,0.953486,0.953486,0.999906,no
ACER2,0.523317,0.489638,0.489638,0.999906,no
ACER3,-0.878938,0.0485785,0.0485785,0.704336,no
ACIN1,0.231518,0.546061,0.546061,0.999906,no
ACLY,-0.190904,0.581502,0.581502,0.999906,no
ACN9,-0.0291048,0.95891,0.95891,0.999906,no
ACO1,-0.0341292,0.913599,0.913599,0.999906,no
ACO2,-0.139231,0.719894,0.719894,0.999906,no
ACOT1,-0.920889,0.186933,0.186933,0.999906,no
ACOT11,0.2275,0.853838,0.853838,0.999906,no
ACOT12,1.81001,0.597942,0.597942,0.999906,no
ACOT13,0.415028,0.570363,0.570363,0.999906,no
ACOT2,-0.723703,0.0775194,0.0775194,0.903813,no
ACOT4,-1.34945,0.234968,0.234968,0.999906,no
ACOT7,0.0118081,0.978397,0.978397,0.999906,no
ACOT8,0.0994123,0.889677,0.889677,0.999906,no
ACOT9,-0.404601,0.240222,0.240222,0.999906,no
ACOX1,0.111579,0.753534,0.753534,0.999906,no
ACOX2,0.298489,0.430348,0.430348,0.999906,no
ACOX3,-0.00683559,0.987731,0.987731,0.999906,no
ACP1,-0.124408,0.755718,0.755718,0.999906,no
ACP2,-0.424179,0.706317,0.706317,0.999906,no
ACP5,1.45411,0.427189,0.427189,0.999906,no
ACP6,0.205587,0.706698,0.706698,0.999906,no
ACPL2,0.84809,0.0419625,0.0419625,0.632856,no
ACRC,-0.258531,0.968445,0.968445,0.999906,no
ACSF2,-0.138845,0.725486,0.725486,0.999906,no
ACSF3,-0.122503,0.908887,0.908887,0.999906,no
ACSL1,-1.60884,5.80589e-07,5.80589e-07,9.93102e-05,yes
ACSL3,0.499667,0.148524,0.148524,0.999906,no
ACSL4,0.301025,0.364353,0.364353,0.999906,no
ACSL5,0.146102,0.839182,0.839182,0.999906,no
ACSS1,-1.94404,8.00249e-07,8.00249e-07,0.000133503,yes
ACSS2,-0.276253,0.41852,0.41852,0.999906,no
ACSS3,-0.110835,0.751527,0.751527,0.999906,no
ACTA2,-1.20529,0.00245837,0.00245837,0.0849886,no
ACTB,-0.967893,0.0942768,0.0942768,0.997621,no
ACTG1,-0.639558,0.243432,0.243432,0.999906,no
ACTG2,-1.98853,2.23217e-06,2.23217e-06,0.000329086,yes
ACTL10,-0.472647,0.7781,0.7781,0.999906,no
ACTL6A,-0.0155791,0.967668,0.967668,0.999906,no
ACTN1,-0.475591,0.247556,0.247556,0.999906,no
ACTN4,-0.856328,0.0232096,0.0232096,0.436206,no
ACTR10,-0.0486616,0.876658,0.876658,0.999906,no
ACTR1A,-0.165049,0.595292,0.595292,0.999906,no
ACTR1B,-0.0958016,0.770252,0.770252,0.999906,no
ACTR2,-0.265426,0.404615,0.404615,0.999906,no
ACTR3,-0.554805,0.0762685,0.0762685,0.893857,no
ACTR3B,0.0910756,0.888141,0.888141,0.999906,no
ACTR5,-0.018661,0.975209,0.975209,0.999906,no
ACTR6,-0.046906,0.910922,0.910922,0.999906,no
ACTR8,0.11632,0.734669,0.734669,0.999906,no
ACVR1,0.0387036,0.903299,0.903299,0.999906,no
ACVR2A,-0.00765803,0.99123,0.99123,0.999906,no
ACVR2B,0.0598985,0.918043,0.918043,0.999906,no
ACVRL1,-0.885083,0.0145611,0.0145611,0.313319,no
ACY1,0.133762,0.811373,0.811373,0.999906,no
ACYP1,0.386838,0.556763,0.556763,0.999906,no
